,Unnamed: 0,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
14,14,CompTIA Security+ Certification Kit: Exam SY0-601,Mike Chapple,4.7 out of 5,594 ratings,$52.99,Na,Certification,"Publisher : Sybex; 6th edition (February 9, 2021)
Language : English
Paperback : 1008 pages
ISBN-10 : 1119794005
ISBN-13 : 978-1119794004
Item Weight : 3.1 pounds
Dimensions : 7.3 x 2.3 x 9.3 inches",Na,Na,Na,Na
15,15,"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008)",Scott Jernigan,4.8 out of 5,348 ratings,$45.99,Na,Networking & Cloud Computing,"Publisher : McGraw Hill; 8th edition (March 28, 2022)
Language : English
Hardcover : 976 pages
ISBN-10 : 1264269056
ISBN-13 : 978-1264269051
Item Weight : 3.77 pounds
Dimensions : 7.7 x 2 x 9.3 inches",Na,#1 Best Seller,in LANs,Part of: All-in-One (17 books)
16,16,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,4.7 out of 5,"7,948 ratings",$33.76,Na,Programming,"Publisher : No Starch Press; 2nd edition (May 3, 2019)
Language : English
Paperback : 544 pages
ISBN-10 : 1593279280
ISBN-13 : 978-1593279288
Reading age : 12 years and up
Lexile measure : 1050L
Item Weight : 2.3 pounds
Dimensions : 7 x 1.2 x 9.25 inches",Na,Na,Na,Na
17,17,CompTIA A+ Complete Study Guide: Core 1 Exam 220-1101 and Core 2 Exam 220-1102,Jon Buhagiar,4.7 out of 5,227 ratings,$40.99,Na,Operating Systems,"Publisher : Sybex; 5th edition (May 3, 2022)
Language : English
Paperback : 1744 pages
ISBN-10 : 1119862914
ISBN-13 : 978-1119862918
Item Weight : 4.8 pounds
Dimensions : 7.4 x 2.1 x 9.2 inches",Na,#1 Best Seller,in Computer Hardware Upgrade & Repair,Na
18,18,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,4.8 out of 5,74 ratings,$51.99,$25.69,Computer Science,"Publisher : O'Reilly Media; 3rd edition (November 8, 2022)
Language : English
Paperback : 861 pages
ISBN-10 : 1098125975
ISBN-13 : 978-1098125974
Item Weight : 2.97 pounds
Dimensions : 7.25 x 2 x 9.5 inches",,Na,Na,Na
19,19,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,Chip Huyen,4.7 out of 5,227 ratings,$29.99,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (June 21, 2022)
Language : English
Paperback : 386 pages
ISBN-10 : 1098107969
ISBN-13 : 978-1098107963
Item Weight : 1.36 pounds
Dimensions : 7 x 0.75 x 9 inches",Na,#1 Best Seller,in Machine Theory,Na
20,20,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,Tanya Reilly,4.7 out of 5,106 ratings,$38.49,Na,Programming,"Publisher : O'Reilly Media; 1st edition (October 25, 2022)
Language : English
Paperback : 356 pages
ISBN-10 : 1098118731
ISBN-13 : 978-1098118730
Item Weight : 1.06 pounds
Dimensions : 6 x 1 x 8.75 inches",Na,Na,Na,Na
21,21,CompTIA Security+ Study Guide: Exam SY0-601,Mike Chapple,4.7 out of 5,792 ratings,$31.49,Na,Certification,"Publisher : Sybex; 8th edition (January 27, 2021)
Language : English
Paperback : 672 pages
ISBN-10 : 1119736250
ISBN-13 : 978-1119736257
Item Weight : 2.05 pounds
Dimensions : 7.3 x 1.6 x 9.3 inches",Na,#1 Best Seller,in Computer Viruses,Na
22,22,"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",David Thomas,4.8 out of 5,"2,318 ratings",$0.00,Na,Programming,Na,,#1 Best Seller,in Software Testing,Na
23,23,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",Wes McKinney,4.4 out of 5,62 ratings,$37.49,Na,Databases & Big Data,"Publisher : O'Reilly Media; 3rd edition (September 20, 2022)
Language : English
Paperback : 579 pages
ISBN-10 : 109810403X
ISBN-13 : 978-1098104030
Item Weight : 2.07 pounds
Dimensions : 7 x 1.5 x 9 inches",Na,Na,Na,Na
24,24,"Introduction to Algorithms, fourth edition",Charles E. Leiserson,4.4 out of 5,291 ratings,$109.43,$19.89,Programming,"Publisher : The MIT Press; 4th edition (April 5, 2022)
Language : English
Hardcover : 1312 pages
ISBN-10 : 026204630X
ISBN-13 : 978-0262046305
Item Weight : 4.8 pounds
Dimensions : 8.25 x 2.01 x 9.31 inches",,#1 Best Seller,in Computer Algorithms,Na
25,25,Deep Learning (Adaptive Computation and Machine Learning series),,4.3 out of 5,"1,958 ratings",$80.00,Na,Computer Science,"Publisher : The MIT Press; Illustrated edition (November 18, 2016)
Language : English
Hardcover : 800 pages
ISBN-10 : 0262035618
ISBN-13 : 978-0262035613
Reading age : 18 years and up
Grade level : 12 and up
Item Weight : 2.54 pounds
Dimensions : 9.1 x 7.2 x 1.1 inches",Na,#1 Best Seller,in Hockey Coaching,Part of: Adaptive Computation and Machine Learning (13 books)
26,26,Windows 11 For Dummies,Andy Rathbone,4.4 out of 5,828 ratings,$16.69,Na,Operating Systems,"Publisher : For Dummies; 1st edition (November 5, 2021)
Language : English
Paperback : 464 pages
ISBN-10 : 1119846471
ISBN-13 : 978-1119846475
Item Weight : 1.3 pounds
Dimensions : 7.4 x 1.2 x 9.2 inches",Na,#1 Best Seller,in Microsoft OS Guides,Na
27,27,Excel All-in-One For Dummies (For Dummies (Computer/Tech)),Paul McFedries,4.4 out of 5,413 ratings,$26.49,Na,Software,"Publisher : For Dummies; 1st edition (December 14, 2021)
Language : English
Paperback : 784 pages
ISBN-10 : 1119830729
ISBN-13 : 978-1119830726
Item Weight : 2.25 pounds
Dimensions : 7.5 x 1.6 x 9.2 inches",Na,Na,Na,Na
28,28,Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,Pramod Sadalage,4.5 out of 5,274 ratings,$38.49,Na,Programming,"Publisher : O'Reilly Media; 1st edition (November 30, 2021)
Language : English
Paperback : 459 pages
ISBN-10 : 1492086894
ISBN-13 : 978-1492086895
Item Weight : 1.65 pounds
Dimensions : 7 x 0.75 x 9.25 inches",Na,#1 Best Seller,in Software Design Tools,Na
29,29,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,4.5 out of 5,"3,991 ratings",$0.00,Na,Management & Leadership,Na,,#1 Best Seller,in Computer Science,Na
30,30,Design Patterns: Elements of Reusable Object-Oriented Software,,4.7 out of 5,"2,147 ratings",$53.99,Na,Computer Science,"Publisher : Addison-Wesley Professional; 1st edition (October 31, 1994)
Language : English
Hardcover : 416 pages
ISBN-10 : 0201633612
ISBN-13 : 978-0201633610
Item Weight : 1.95 pounds
Dimensions : 9.31 x 7.62 x 1.04 inches",Na,#1 Best Seller,in Computer Vision & Pattern Recognition,Na
31,31,CCNA 200-301 Official Cert Guide Library,Wendell Odom,4.7 out of 5,"1,977 ratings",$47.94,Na,Certification,"Publisher : Cisco Press; 1st edition (December 31, 2019)
Language : English
ISBN-10 : 1587147149
ISBN-13 : 978-1587147142
Item Weight : 6.44 pounds
Dimensions : 8 x 4 x 9.8 inches",,#1 Best Seller,in Cisco Certification Guides,Part of: Official Cert Guide (24 books)
32,32,"AP Computer Science A Premium, 2022-2023: Comprehensive Review with 6 Practice Tests + an Online Timed Test Option (Barron's Test Prep)",Roselyn Teukolsky M.S.,4.6 out of 5,820 ratings,$18.99,Na,Education & Reference,"Publisher : Barrons Educational Services; Tenth edition (February 1, 2022)
Language : English
Paperback : 496 pages
ISBN-10 : 1506264158
ISBN-13 : 978-1506264158
Grade level : 9 - 12
Item Weight : 1.72 pounds
Dimensions : 8.38 x 0.9 x 10.88 inches",,Na,Na,Na
33,33,"CompTIA Security+ All-in-One Exam Guide, Sixth Edition (Exam SY0-601))",Wm. Arthur Conklin,4.7 out of 5,591 ratings,$47.95,Na,Certification,"Publisher : McGraw Hill; 6th edition (April 15, 2021)
Language : English
Hardcover : 784 pages
ISBN-10 : 1260464008
ISBN-13 : 978-1260464009
Item Weight : 3.11 pounds
Dimensions : 7.6 x 1.6 x 9.4 inches",Na,Na,Na,Part of: All-in-One (17 books)
34,34,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,James Michael Stewart,4.7 out of 5,616 ratings,$44.49,Na,Programming,"Publisher : Sybex; 9th edition (June 22, 2021)
Language : English
Paperback : 1248 pages
ISBN-10 : 1119786231
ISBN-13 : 978-1119786238
Reading age : 1 year and up
Item Weight : 3.95 pounds
Dimensions : 7.4 x 1.7 x 9.2 inches",Na,Na,Na,Na
35,35,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,4.9 out of 5,169 ratings,$34.76,Na,Programming,"Publisher : Microsoft Press; 2nd edition (August 7, 2022)
Language : English
Paperback : 480 pages
ISBN-10 : 0137909101
ISBN-13 : 978-0137909100
Item Weight : 1.5 pounds
Dimensions : 6 x 0.97 x 9.05 inches",Na,Na,Na,Na
36,36,QuickBooks 2023 All-in-One For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,5 out of 5,9 ratings,$31.49,Na,Accounting,"Publisher : For Dummies; 1st edition (November 23, 2022)
Language : English
Paperback : 640 pages
ISBN-10 : 111990613X
ISBN-13 : 978-1119906131
Item Weight : 1.9 pounds
Dimensions : 7.4 x 1.6 x 9.2 inches",Na,#1 Best Seller,in Personal Finance Software,Na
37,37,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,4.6 out of 5,"1,781 ratings",$30.49,Na,Management & Leadership,"Publisher : O'Reilly Media; 1st edition (May 2, 2017)
Language : English
Paperback : 241 pages
ISBN-10 : 1491973897
ISBN-13 : 978-1491973899
Item Weight : 12.7 ounces
Dimensions : 6 x 0.51 x 9 inches",Na,Na,Na,Na
38,38,Clean Architecture: A Craftsman's Guide to Software Structure and Design (Robert C. Martin Series),Robert Martin,4.7 out of 5,"2,407 ratings",$34.19,Na,Programming,"Publisher : Pearson; 1st edition (September 10, 2017)
Language : English
Paperback : 432 pages
ISBN-10 : 0134494164
ISBN-13 : 978-0134494166
Item Weight : 1.63 pounds
Dimensions : 0.8 x 6.9 x 9 inches",,#1 Best Seller,in Computer Hardware Design & Architecture,Part of: Robert C. Martin (14 books)
39,39,The Official (ISC)2 CISSP CBK Reference,Arthur J. Deane,4.7 out of 5,190 ratings,$67.99,Na,Accounting,"Publisher : Sybex; 6th edition (September 15, 2021)
Language : English
Hardcover : 672 pages
ISBN-10 : 1119789990
ISBN-13 : 978-1119789994
Item Weight : 2.75 pounds
Dimensions : 7.7 x 1.6 x 9.5 inches",Na,Na,Na,Na
40,40,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability (3rd Edition) (Voices That Matter)",Steve Krug,4.6 out of 5,"3,046 ratings",$39.99,Na,Web Development & Design,"ASIN : 0321965515
Publisher : New Riders; 3rd edition (December 24, 2013)
Language : English
Paperback : 216 pages
ISBN-10 : 9780321965516
ISBN-13 : 978-0321965516
Item Weight : 15.5 ounces
Dimensions : 6.95 x 0.7 x 8.95 inches",,Na,Na,Na
41,41,"CompTIA A+ Certification All-in-One Exam Guide, Tenth Edition (Exams 220-1001 & 220-1002)",Mike Meyers,4.7 out of 5,"5,818 ratings",$21.99,Na,Hardware & DIY,"Publisher : McGraw Hill; 10th edition (April 12, 2019)
Language : English
Hardcover : 1568 pages
ISBN-10 : 1260454037
ISBN-13 : 978-1260454031
Item Weight : 5.33 pounds
Dimensions : 7.7 x 2.5 x 9.3 inches",Na,Na,Na,Na
42,42,HTML and CSS: Design and Build Websites,Jon Duckett,4.7 out of 5,"4,292 ratings",$17.99,Na,Web Development & Design,"Publisher : John Wiley & Sons; 1st edition (November 8, 2011)
Language : English
Paperback : 490 pages
ISBN-10 : 1118008189
ISBN-13 : 978-1118008188
Item Weight : 2.59 pounds
Dimensions : 7.4 x 1.2 x 9.3 inches",Na,#1 Best Seller,in CSS Programming,Na
43,43,"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",Al Sweigart,4.7 out of 5,"2,757 ratings",$33.76,Na,Programming,"Publisher : No Starch Press; 2nd edition (November 12, 2019)
Language : English
Paperback : 592 pages
ISBN-10 : 1593279922
ISBN-13 : 978-1593279929
Item Weight : 3.53 ounces
Dimensions : 7.13 x 1.02 x 9.25 inches",,Na,Na,Na
44,44,JavaScript: The Definitive Guide: Master the World's Most-Used Programming Language,David Flanagan,4.7 out of 5,"1,180 ratings",$38.49,Na,Programming,"Publisher : O'Reilly Media; 7th edition (June 23, 2020)
Language : English
Paperback : 704 pages
ISBN-10 : 1491952024
ISBN-13 : 978-1491952023
Item Weight : 2.65 pounds
Dimensions : 7 x 1.41 x 9.19 inches",Na,Na,Na,Na
45,45,Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023),Mark Reed,4.9 out of 5,340 ratings,$38.94,Na,Programming,"ASIN : B0BRYWKKVJ
Publisher : Independently published (January 10, 2023)
Language : English
Paperback : 573 pages
ISBN-13 : 979-8373278850
Item Weight : 2.68 pounds
Dimensions : 7 x 1.3 x 10 inches",Na,Na,Na,Part of: Computer Programming (28 books)
46,46,"C Programming Language, 2nd Edition",Dennis M. Ritchie,4.7 out of 5,"3,659 ratings",$60.30,Na,Programming Languages,"Publisher : Pearson; 2nd edition (March 22, 1988)
Language : English
Paperback : 272 pages
ISBN-10 : 0131103628
ISBN-13 : 978-0131103627
Item Weight : 1.1 pounds
Dimensions : 6.8 x 0.7 x 9.2 inches",,#1 Best Seller,in C Programming Language,Na
47,47,"Programming Rust: Fast, Safe Systems Development",Jason Orendorff,4.7 out of 5,429 ratings,$38.49,Na,Programming,"Publisher : O'Reilly Media; 2nd edition (July 20, 2021)
Language : English
Paperback : 735 pages
ISBN-10 : 1492052590
ISBN-13 : 978-1492052593
Item Weight : 3.53 ounces
Dimensions : 7 x 1.5 x 9 inches",Na,#1 Best Seller,in Parallel Computer Programming,Na
48,48,"Natural Language Processing with Transformers, Revised Edition",Lewis Tunstall,4.5 out of 5,47 ratings,$45.99,Na,Computer Science,"Publisher : O'Reilly Media; 1st edition (July 5, 2022)
Language : English
Paperback : 406 pages
ISBN-10 : 1098136799
ISBN-13 : 978-1098136796
Item Weight : 1.43 pounds
Dimensions : 7 x 1 x 9.25 inches",Na,Na,Na,Na
49,49,Artificial Intelligence: A Modern Approach (Pearson Series in Artifical Intelligence),Peter Norvig,4.6 out of 5,383 ratings,$170.00,$78.98,Computer Science,"Publisher : Pearson; 4th edition (April 28, 2020)
Language : English
Hardcover : 1136 pages
ISBN-10 : 0134610997
ISBN-13 : 978-0134610993
Item Weight : 3.53 ounces
Dimensions : 8.4 x 1.7 x 10.1 inches",,Na,Na,Part of: Pearson Series in Artifical Intelligence (1 books)
50,50,Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),Codeone Publishing,4.7 out of 5,"1,160 ratings",$20.05,Na,Programming,"ASIN : B0BL2PHJJ9
Publisher : Independently published (October 31, 2022)
Language : English
Paperback : 126 pages
ISBN-13 : 979-8361503742
Item Weight : 10.2 ounces
Dimensions : 8 x 0.29 x 10 inches",,#1 Best Seller,in Computer Programming Debugging,Na
51,51,"CompTIA Security+: SY0-601 Certification Guide: Complete coverage of the new CompTIA Security+ (SY0-601) exam to help you pass on the first attempt, 2nd Edition",Ian Neil,4.6 out of 5,"1,456 ratings",$32.29,Na,Certification,"Publisher : Packt Publishing; 2nd ed. edition (December 24, 2020)
Language : English
Paperback : 546 pages
ISBN-10 : 1800564244
ISBN-13 : 978-1800564244
Item Weight : 2.05 pounds
Dimensions : 7.5 x 1.23 x 9.25 inches",Na,Na,Na,Na
52,52,"CISSP All-in-One Exam Guide, Ninth Edition",Fernando Maymi,4.7 out of 5,221 ratings,$55.02,Na,Certification,"Publisher : McGraw Hill; 9th edition (December 2, 2021)
Language : English
Hardcover : 1360 pages
ISBN-10 : 1260467376
ISBN-13 : 978-1260467376
Item Weight : 4.59 pounds
Dimensions : 7.7 x 2.1 x 9.4 inches",Na,Na,Na,Part of: All-in-One (17 books)
53,53,Counseling the Culturally Diverse: Theory and Practice,Derald Wing Sue,4.4 out of 5,64 ratings,$63.23,$17.79,Social Sciences,"Publisher : Wiley; 9th edition (March 22, 2022)
Language : English
Paperback : 432 pages
ISBN-10 : 111986190X
ISBN-13 : 978-1119861904
Item Weight : 2.55 pounds
Dimensions : 8.5 x 1 x 10.8 inches",,Na,Na,Na
54,54,"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,4.6 out of 5,"1,394 ratings",$22.49,Na,Programming,"Publisher : ClydeBank Media LLC; Illustrated edition (November 18, 2019)
Language : English
Paperback : 249 pages
ISBN-10 : 1945051752
ISBN-13 : 978-1945051753
Item Weight : 15.5 ounces
Dimensions : 7.5 x 0.57 x 9.25 inches",Na,#1 Best Seller,in Microsoft SQL Server,Na
55,55,Destination CISSP: A Concise Guide,,4.9 out of 5,37 ratings,Na,Na,Computers & Technology,"ASIN : B0BSZR1JH7
Publisher : Destination Certification Inc. (January 23, 2023)
Publication date : January 23, 2023
Language : English
File size : 63373 KB
Simultaneous device usage : Unlimited
Text-to-Speech : Enabled
Screen Reader : Supported
Enhanced typesetting : Enabled
X-Ray : Not Enabled
Word Wise : Not Enabled
Sticky notes : On Kindle Scribe
Print length : 1153 pages",Na,Na,Na,Na
56,56,Fundamentals of Software Architecture: An Engineering Approach,Mark Richards,4.6 out of 5,657 ratings,$38.49,Na,Programming,"Publisher : O'Reilly Media; 1st edition (March 3, 2020)
Language : English
Paperback : 419 pages
ISBN-10 : 1492043451
ISBN-13 : 978-1492043454
Item Weight : 1.47 pounds
Dimensions : 7 x 0.86 x 9.19 inches",Na,Na,Na,Na
57,57,"Princeton Review AP Computer Science Principles Prep, 2023: 3 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)",The Princeton Review,4.5 out of 5,19 ratings,$18.99,Na,College & High School,"Publisher : Princeton Review (August 2, 2022)
Language : English
Paperback : 320 pages
ISBN-10 : 0593450736
ISBN-13 : 978-0593450734
Grade level : 10 - 12
Item Weight : 1.14 pounds
Dimensions : 8.38 x 0.75 x 10.8 inches",Na,Na,Na,Na
58,58,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,4.6 out of 5,"1,056 ratings",$64.49,Na,Programming,"Publisher : Addison-Wesley Professional; 1st edition (August 20, 2003)
Language : English
Hardcover : 560 pages
ISBN-10 : 0321125215
ISBN-13 : 978-0321125217
Item Weight : 2.73 pounds
Dimensions : 7.4 x 1.4 x 9.55 inches",,Na,Na,Na
59,59,Adobe Photoshop Classroom in a Book (2023 Release),Conrad Chavez,4.8 out of 5,6 ratings,$57.99,Na,Graphics & Design,"Publisher : Adobe Press; 1st edition (December 16, 2022)
Language : English
Paperback : 416 pages
ISBN-10 : 0137965893
ISBN-13 : 978-0137965892
Item Weight : 1.79 pounds
Dimensions : 7.38 x 0.88 x 9.2 inches",Na,#1 Best Seller,in Adobe Photoshop,Part of: Classroom in a Book (1 books)
60,60,Electronic Music and Sound Design - Theory and Practice with Max 8 - volume 3,Alessandro Cipriani,4 out of 5,1 rating,$59.00,Na,Music,"Publisher : Contemponet (February 5, 2023)
Language : English
Paperback : 762 pages
ISBN-10 : 8899212244
ISBN-13 : 978-8899212247
Item Weight : 2.31 pounds
Dimensions : 6.14 x 1.52 x 9.21 inches",Na,#1 New Release,in Digital Audio Production,Na
61,61,Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,Aditya Bhargava,4.6 out of 5,"1,249 ratings",$35.99,Na,Computer Science,"Publisher : Manning; 1st edition (May 1, 2016)
Language : English
Paperback : 256 pages
ISBN-10 : 1617292230
ISBN-13 : 978-1617292231
Item Weight : 14.1 ounces
Dimensions : 7.38 x 0.4 x 9.25 inches",Na,Na,Na,Na
62,62,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",Garrett Grolemund,4.7 out of 5,"1,456 ratings",$43.99,Na,Mathematics,"Publisher : O'Reilly Media; 1st edition (January 31, 2017)
Language : English
Paperback : 518 pages
ISBN-10 : 1491910399
ISBN-13 : 978-1491910399
Item Weight : 1.64 pounds
Dimensions : 6 x 1.05 x 9 inches",Na,Na,Na,Na
63,63,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,4.8 out of 5,"3,179 ratings",$58.55,Na,Computer Science,"Publisher : O'Reilly Media; 2nd edition (October 15, 2019)
Language : English
Paperback : 856 pages
ISBN-10 : 1492032646
ISBN-13 : 978-1492032649
Item Weight : 2.8 pounds
Dimensions : 7 x 1.2 x 9.2 inches",,Na,Na,Na
64,64,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,4.4 out of 5,"3,261 ratings",$0.00,Na,Computer Science,Na,,Na,Na,Na
65,65,An Elegant Puzzle: Systems of Engineering Management,Will Larson,4.5 out of 5,801 ratings,$19.80,Na,Management & Leadership,"Publisher : Stripe Press (May 20, 2019)
Language : English
Hardcover : 288 pages
ISBN-10 : 1732265186
ISBN-13 : 978-1732265189
Item Weight : 1.59 pounds
Dimensions : 6 x 1.25 x 9 inches",Na,Na,Na,Na
