,item_code,item_name,bedroom,bathroom,area,direction,address,details_property,total_price,unit_price,gross_unit_price,payment,utility
10,392210,Bán nhà hẻm Tôn Đản Phường 10 Quận 4 - Nhà gần Tiểu học Xóm Chiếu,1,1,7.4 m²,Bắc,"Đ.Tôn Đản, P.10, Q.4, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n4.33 m\nChiều rộng\n1.64 m\nDiện tích đất\n7.4 m²\nDiện tích sử dụng\n14.8 m²\nHướng\nBắc\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,05 tỷ","134,4 triệu/m²","141,8 triệu/m²","10,84 triệu/tháng",Na
11,387712,Bán Nhà 1 Trệt 1 Lầu Hẻm Xe Máy Phường Tân Hưng Quận 7 ,1,1,10.3 m²,T.Bắc,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n5.1 m\nChiều rộng\n2 m\nDiện tích đất\n10.3 m²\nDiện tích sử dụng\n21.4 m²\nHướng\nT.Bắc\nĐộ rộng hẻm\n2.3 m\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,05 tỷ","94,2 triệu/m²","101,9 triệu/m²","10,84 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Gần mặt tiền đường
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh"
12,107510,"Bán nhà Quận Tân Phú hẻm yên tĩnh, giáp Tân Bình",2,2,7.6 m²,Đ.Nam,"Đ.Âu Cơ, P.Phú Trung, Q.Tân Phú, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n2\nChiều dài\n3.42 m\nChiều rộng\n1.6 m\nDiện tích đất\n7.6 m²\nDiện tích sử dụng\n23 m²\nHướng\nĐ.Nam\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 2 lầu'],"1,05 tỷ","125,3 triệu/m²","138,1 triệu/m²","10,84 triệu/tháng","Gần công viên, trung tâm
Gần trường học
Di chuyển thuận tiện ra trung tâm
Khu vực an ninh, yên tĩnh"
13,417476,Bán căn hộ Lô C chung cư Phạm Thế Hiển - Sổ hồng riêng chính chủ,1,1,36.7 m²,Bắc,"Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n36.7 m²\nHướng\nBắc\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,1 tỷ",Na,"29,9 triệu/m²","11,35 triệu/tháng",Na
14,360588,Bán nhà hẻm thông thoáng Phường 5 Quận 8 - Sổ hồng riêng chính chủ,2,1,4.7 m²,T.Bắc,"Đ.Bông Sao, P.5, Q.8, Hồ Chí Minh","['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n3.32 m\nChiều rộng\n1.52 m\nDiện tích đất\n4.7 m²\nDiện tích sử dụng\n9.2 m²\nHướng\nT.Bắc\nĐộ rộng hẻm\n2.1 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt, 1 gác suốt + 2 lầu']","1,1 tỷ","224,2 triệu/m²",234 triệu/m²,"11,35 triệu/tháng",Na
15,361245,Bán Nhà Hẻm Thông Thoáng Xã Phú Xuân Huyện Nhà Bè,2,1,24 m²,T.Nam,"Đ.Huỳnh Tấn Phát, X.Phú Xuân, H.Nhà Bè, Hồ Chí Minh","['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n8 m\nChiều rộng\n3 m\nDiện tích đất\n24 m²\nDiện tích sử dụng\n48 m²\nHướng\nT.Nam\nĐộ rộng hẻm\n3 m\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt, 1 áp mái + 1 lầu']","1,1 tỷ","37,3 triệu/m²","45,8 triệu/m²","11,35 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Gần mặt tiền đường
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh
Sân để xe rộng rãi"
16,322100,Bán đất nền Bình Chánh - Gần trường học,Na,Na,63.7 m²,Đông,"Đ.Bông Văn Dĩa, X.Tân Kiên, H.Bình Chánh, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nChiều dài\n16.3 m\nChiều rộng\n4 m\nDiện tích đất\n63.7 m²\nHướng\nĐông\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,1 tỷ",Na,"17,2 triệu/m²","11,35 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
17,204923,Bán căn hộ chung cư ngay trung tâm Quận 5,1,1,20.38 m²,Đông,"Đ.Nguyễn Trãi, P.14, Q.5, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n20.38 m²\nHướng\nĐông\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,1 tỷ",Na,"53,9 triệu/m²","11,35 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Gần mặt tiền đường
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Sân để xe rộng rãi"
18,353896,Nhà nhỏ Sổ hồng riêng Hẻm Tân Hòa Đông P14 Q6 - 2 x 7.08m,1,1,9.5 m²,Đông,"Đ.Tân Hòa Đông, P.14, Q.6, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n7.08 m\nChiều rộng\n2 m\nDiện tích đất\n9.5 m²\nDiện tích sử dụng\n19 m²\nHướng\nĐông\nĐộ rộng hẻm\n3.47 m\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,12 tỷ","111,1 triệu/m²","117,8 triệu/m²","11,56 triệu/tháng",Na
19,225425,Bán Nhà Nhỏ Xinh 1 Lầu Đúc Thật Đường Văn Thân P8 Q6 - 2x7m,2,1,14 m²,T.Nam,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n7 m\nChiều rộng\n2 m\nDiện tích đất\n14 m²\nDiện tích sử dụng\n28 m²\nHướng\nT.Nam\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐang ở\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,15 tỷ","74,7 triệu/m²","82,1 triệu/m²","11,87 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Gần mặt tiền đường
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh
Sân để xe rộng rãi"
20,165468,"Bán nhà riêng Phường 15, Quận 8 - Sổ hồng riêng chính chủ",2,1,11.4 m²,Đ.Nam,"Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n5.44 m\nChiều rộng\n2.34 m\nDiện tích đất\n11.4 m²\nDiện tích sử dụng\n17.6 m²\nHướng\nĐ.Nam\nĐộ rộng hẻm\n2 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,15 tỷ","95,1 triệu/m²","100,8 triệu/m²","11,87 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
21,382860,Bán căn hộ 1 phòng ngủ chung cư Tân Mỹ Quận 7- Căn hộ thoáng mát.,1,1,34 m²,Bắc,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n34 m²\nHướng\nBắc\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,15 tỷ",Na,"33,8 triệu/m²","11,87 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
22,348816,"Bán đất hẻm an ninh Đường 6B, Xã Vĩnh Lộc B Huyện Bình Chánh",Na,Na,57 m²,Đông,"Đ.6B Vĩnh Lộc, X.Vĩnh Lộc B, H.Bình Chánh, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nChiều dài\n14.3 m\nChiều rộng\n4 m\nDiện tích đất\n57 m²\nHướng\nĐông\nĐộ rộng hẻm\n4 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,15 tỷ",Na,"20,1 triệu/m²","11,87 triệu/tháng",Na
23,364833,Bán nhà hẻm Phường 10 Quận 8 - Sổ hồng riêng chính chủ,1,1,9.4 m²,Tây,"Đ.Ba Đình, P.10, Q.8, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n4.54 m\nChiều rộng\n1.87 m\nDiện tích đất\n9.4 m²\nDiện tích sử dụng\n9.4 m²\nHướng\nTây\nĐộ rộng hẻm\n1.16 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,15 tỷ","118,6 triệu/m²","122,3 triệu/m²","11,87 triệu/tháng",Na
24,409014,Căn hộ tầng thấp chung cư Tân Mỹ quận 7 đang để trống,1,1,33.1 m²,Không xác định,"Đ.số 8, P.Tân Phú, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n33.1 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,15 tỷ",Na,"34,7 triệu/m²","11,87 triệu/tháng",Na
25,394540,"Bán căn hộ chung cư OFFICETEL D-VELA,  Phường Phú Thuận - Quận 7",1,1,39 m²,Không xác định,"Đ.Huỳnh Tấn Phát, P.Phú Thuận, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n39 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nKhác'],"1,15 tỷ",Na,"29,4 triệu/m²","11,87 triệu/tháng",Na
26,176668,Bán Căn Hộ 1 Phòng Ngủ Chung Cư Silver Star-Hưng Phát 2 Thích Hợp Mở Văn Phòng Hoặc Để Ở Đường Nguyễn Hữu Thọ Xã Phước Kiển Huyện Nhà Bè,1,1,30.44 m²,Không xác định,"Đ.Nguyễn Hữu Thọ, X.Phước Kiển, H.Nhà Bè, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n30.44 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nKhác'],"1,16 tỷ",Na,"38,1 triệu/m²","11,97 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Gần mặt tiền đường
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh
Sân để xe rộng rãi"
27,419926,Bán nhà riêng huyện Nhà bè - Hẻm xe hơi 6m,2,1,16 m²,Bắc,"Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n4.6 m\nChiều rộng\n3.4 m\nDiện tích đất\n16 m²\nDiện tích sử dụng\n48 m²\nHướng\nBắc\nĐộ rộng hẻm\n6 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 2 lầu'],"1,18 tỷ","62,2 triệu/m²","73,7 triệu/m²","12,18 triệu/tháng",Na
28,394689,"Bán căn hộ 1 PN sang trọng, đầy đủ nội thất tại THÁI AN 4 - Quận 12",1,1,40 m²,Không xác định,"Đ.Nguyễn Văn Quá, P.Đông Hưng Thuận, Q.12, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n40 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐang cho thuê\nGiấy tờ\nKhác'],"1,2 tỷ",Na,30 triệu/m²,"12,39 triệu/tháng","Gần chợ, siêu thị
Gần mặt tiền đường"
29,391429,Bán Căn Hộ Chung Cư Đường Võ Văn Kiệt Quận 5 - Gần chợ Hòa Bình,1,1,20 m²,Tây,"Đ.Võ Văn Kiệt, P.1, Q.5, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n20 m²\nHướng\nTây\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,2 tỷ",Na,60 triệu/m²,"12,39 triệu/tháng",Na
30,282770,Bán nhà riêng Phường 15 Quận 8 - Sổ hồng riêng chính chủ,2,1,10.5 m²,T.Bắc,"Đ.Lưu Hữu Phước, P.15, Q.8, Hồ Chí Minh","['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n3.03 m\nChiều rộng\n3.85 m\nDiện tích đất\n10.5 m²\nDiện tích sử dụng\n21 m²\nHướng\nT.Bắc\nĐộ rộng hẻm\n1.1 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt, 1 lửng + 1 lầu']","1,2 tỷ","105,8 triệu/m²","114,2 triệu/m²","12,39 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
31,215105,"Bán Chung Cư Căn Hộ HQC-Đường Nguyễn Văn Linh, Huyện Bình Chánh",2,2,50.03 m²,Không xác định,"Đ.Nguyễn Văn Linh, X.An Phú Tây, H.Bình Chánh, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n2\nDiện tích sử dụng\n50.03 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nKhác'],"1,2 tỷ",Na,"23,9 triệu/m²","12,39 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
32,112091,Bán nhà Quận Gò Vấp - Hẻm yên tĩnh - Nhà trống giao ngay,1,1,12.9 m²,T.Nam,"Đ.Nguyễn Văn Lượng, P.17, Q.Gò Vấp, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n5.87 m\nChiều rộng\n2 m\nDiện tích đất\n12.9 m²\nDiện tích sử dụng\n25.8 m²\nHướng\nT.Nam\nĐộ rộng hẻm\n1 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,2 tỷ","85,6 triệu/m²",93 triệu/m²,"12,39 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Khu vực an ninh, yên tĩnh"
33,394789,"Bán Căn Hộ 1 Phòng Ngủ, 1WC, Chung Cư BOULEVAR, Phường Phú Mỹ, Quận 7",1,1,28.6 m²,Không xác định,"Đ.Nguyễn Lương Bằng, P.Phú Mỹ, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n28.6 m²\nHướng\nKhông xác định\nHiện trạng nhà\nĐể trống\nGiấy tờ\nKhác'],"1,2 tỷ",Na,"41,9 triệu/m²","12,39 triệu/tháng",Na
34,404618,BÁN CĂN HỘ 1 PHÒNG NGỦ CHUNG CƯ TÂN MỸ PHƯỜNG TÂN PHÚ QUẬN 7 ,1,1,33.1 m²,Đ.Bắc,"Đ.Nguyễn Lương Bằng, P.Tân Phú, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n33.1 m²\nHướng\nĐ.Bắc\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,2 tỷ",Na,"36,2 triệu/m²","12,39 triệu/tháng",Na
35,395307,Bán Nhà 1 Trệt 1 Lửng 2 Lầu Hẻm Xe Máy Phường Tân Hưng Quận 7 ,2,2,8.4 m²,T.Nam,"Đ.Trần Xuân Soạn, P.Tân Hưng, Q.7, Hồ Chí Minh","['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n2\nChiều dài\n4.28 m\nChiều rộng\n1.97 m\nDiện tích đất\n8.4 m²\nDiện tích sử dụng\n29.7 m²\nHướng\nT.Nam\nĐộ rộng hẻm\n2.5 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt, 1 lửng + 2 lầu']","1,2 tỷ","125,1 triệu/m²","142,8 triệu/m²","12,39 triệu/tháng","Gần chợ, siêu thị
Gần bệnh viện
Gần công viên, trung tâm
Gần trường học
Gần mặt tiền đường
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng
Khu vực an ninh, yên tĩnh"
36,414635,Bán nhà nhỏ xinh Quận 6 - Gần công viên và chợ,1,1,11.5 m²,Đ.Nam,"Đ.Văn Thân, P.8, Q.6, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nChiều dài\n3.58 m\nChiều rộng\n3.03 m\nDiện tích đất\n11.5 m²\nDiện tích sử dụng\n11.5 m²\nHướng\nĐ.Nam\nĐộ rộng hẻm\n0.9 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 1 lầu'],"1,2 tỷ","100,6 triệu/m²","104,3 triệu/m²","12,39 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Di chuyển thuận tiện ra trung tâm
Thiết kế thông thoáng"
37,409815,"Chính chủ cần bán căn hộ 01 phòng ngủ chung cư Tân Mỹ, Quận 7.",1,1,33.1 m²,Nam,"Đ.Nguyễn Lương Bằng, P.Tân Phú, Q.7, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n1\nPhòng tắm\n1\nDiện tích sử dụng\n33.1 m²\nHướng\nNam\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng'],"1,2 tỷ",Na,"36,2 triệu/m²","12,39 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
38,298794,Bán nhà Quận Tân Phú - Khu dân cư an ninh,2,1,4.9 m²,Đông,"Đ.Âu Cơ, P.Tân Thành, Q.Tân Phú, Hồ Chí Minh",['CHI TIẾT BẤT ĐỘNG SẢN\nPhòng ngủ\n2\nPhòng tắm\n1\nChiều dài\n2.6 m\nChiều rộng\n3.3 m\nDiện tích đất\n4.9 m²\nDiện tích sử dụng\n14.7 m²\nHướng\nĐông\nĐộ rộng hẻm\n2.04 m\nHiện trạng nhà\nĐể trống\nGiấy tờ\nSổ hồng\nKết cấu nhà\n1 trệt + 2 lầu'],"1,2 tỷ","232,1 triệu/m²","244,8 triệu/m²","12,39 triệu/tháng","Gần chợ, siêu thị
Gần trường học
Gần mặt tiền đường"
